"No"	"キーワード"	"SEO難易度"	"月間検索数"	"CPC ($)"	"競合性"	"出現時期"
"1"	"収入印紙"	"51"	"135000"	"0.31"	"2"	"1年以上前"
"2"	"収入印紙の金額"	"55"	"74000"	"0.32"	"4"	"1年以上前"
"3"	"金額 収入印紙"	"60"	"74000"	"0.07"	"1"	"1年以上前"
"4"	"収入印紙とは 金額"	"81"	"74000"	"0.07"	"1"	"1年以上前"
"5"	"収入印紙金額"	"53"	"74000"	"0.32"	"4"	"1年以上前"
"6"	"収入印紙どこで買える"	"33"	"49500"	"0.03"	"2"	"1年以上前"
"7"	"収入印紙はどこで買える"	"44"	"49500"	"0.12"	"1"	"1年以上前"
"8"	"収入印紙 何処で買う"	"33"	"49500"	"0.03"	"2"	"1年以上前"
"9"	"収入印紙どこで買う"	"55"	"49500"	"0.03"	"2"	"1年以上前"
"10"	"収入印紙はどこで買う"	"33"	"49500"	"0.03"	"2"	"1年以上前"
"11"	"収入印紙 どこでかう"	"null"	"49500"	"0.02"	"2"	"過去7日"
"12"	"収入印紙はいくらから"	"49"	"33100"	"0.3"	"6"	"1年以上前"
"13"	"収入印紙とはいくらから"	"33"	"33100"	"0.07"	"1"	"1年以上前"
"14"	"収入印紙は幾らから"	"33"	"33100"	"0.07"	"1"	"1年以上前"
"15"	"収入印紙いくらから"	"49"	"33100"	"0.27"	"5"	"1年以上前"
"16"	"収入印紙コンビニ"	"44"	"27100"	"0.02"	"1"	"1年以上前"
"17"	"収入印紙とは コンビニ"	"33"	"27100"	"0"	"0"	"1年以上前"
"18"	"コンビニで収入印紙"	"42"	"27100"	"0.02"	"1"	"1年以上前"
"19"	"コンビニ収入印紙"	"33"	"27100"	"0.02"	"1"	"1年以上前"
"20"	"収入印紙の領収書"	"51"	"14800"	"0.28"	"3"	"1年以上前"
"21"	"収入印紙領収書"	"49"	"14800"	"0.31"	"4"	"1年以上前"
"22"	"収入印紙とは"	"33"	"14800"	"0.42"	"4"	"1年以上前"
"23"	"領収書の収入印紙"	"45"	"14800"	"0.21"	"4"	"1年以上前"
"24"	"領収書に収入印紙"	"52"	"14800"	"0.15"	"2"	"1年以上前"
"25"	"領収書と収入印紙"	"56"	"14800"	"0.22"	"2"	"1年以上前"
"26"	"収入印紙とは 領収書"	"60"	"14800"	"0.15"	"2"	"1年以上前"
"27"	"領収書収入印紙"	"59"	"14800"	"0.4"	"4"	"1年以上前"
"28"	"領収書への収入印紙"	"46"	"14800"	"0.21"	"4"	"1年以上前"
"29"	"契約書の収入印紙"	"50"	"12100"	"4.27"	"0"	"1年以上前"
"30"	"郵便局収入印紙"	"45"	"12100"	"0.05"	"0"	"1年以上前"
"31"	"収入印紙とは 契約書"	"58"	"12100"	"1.93"	"1"	"1年以上前"
"32"	"収入印紙契約書"	"49"	"12100"	"4.27"	"0"	"1年以上前"
"33"	"収入印紙 郵便局"	"44"	"12100"	"0.05"	"0"	"1年以上前"
"34"	"契約書に収入印紙"	"51"	"12100"	"4.27"	"0"	"1年以上前"
"35"	"契約書収入印紙"	"53"	"12100"	"4.27"	"0"	"1年以上前"
"36"	"収入印紙は"	"60"	"12100"	"0.06"	"1"	"1年以上前"
"37"	"収入印紙の金額表"	"59"	"9900"	"0.09"	"0"	"半年以内"
"38"	"割印収入印紙"	"47"	"9900"	"0"	"0"	"1年以上前"
"39"	"収入印紙の割印"	"53"	"9900"	"0"	"0"	"1年以上前"
"40"	"収入印紙 割り印"	"33"	"9900"	"2.33"	"0"	"1年以上前"
"41"	"収入印紙割印"	"48"	"9900"	"0"	"0"	"1年以上前"
"42"	"収入印紙の割り印"	"33"	"9900"	"2.33"	"0"	"1年以上前"
"43"	"収入印紙金額表"	"50"	"9900"	"0.75"	"2"	"1年以上前"
"44"	"収入印紙の貼り方"	"49"	"8100"	"0.91"	"0"	"1年以上前"
"45"	"収入印紙貼り方"	"49"	"8100"	"0.59"	"0"	"1年以上前"
"46"	"契約書の収入印紙金額"	"50"	"6600"	"0.27"	"1"	"1年以上前"
"47"	"収入印紙契約書 金額"	"51"	"6600"	"0.27"	"1"	"1年以上前"
"48"	"勘定科目収入印紙"	"35"	"6600"	"0"	"0"	"1年以上前"
"49"	"収入印紙の勘定科目"	"37"	"6600"	"3.26"	"0"	"1年以上前"
"50"	"収入印紙勘定科目"	"34"	"6600"	"0"	"0"	"1年以上前"
"51"	"収入印紙何のため"	"47"	"5400"	"0.18"	"1"	"1年以上前"
"52"	"収入印紙金額契約書"	"51"	"5400"	"0.28"	"0"	"1年以上前"
"53"	"契約書の収入印紙の金額"	"51"	"5400"	"0.28"	"0"	"1年以上前"
"54"	"収入印紙の種類"	"52"	"5400"	"2"	"1"	"1年以上前"
"55"	"収入印紙なんのため"	"47"	"5400"	"0.96"	"2"	"1年以上前"
"56"	"契約書収入印紙金額"	"54"	"5400"	"0.28"	"0"	"1年以上前"
"57"	"領収書の収入印紙の金額"	"58"	"5400"	"0.2"	"3"	"1年以上前"
"58"	"収入印紙種類"	"53"	"5400"	"2"	"1"	"1年以上前"
"59"	"契約書収入印紙の金額"	"51"	"5400"	"0.28"	"0"	"1年以上前"
"60"	"収入印紙 金額領収書"	"46"	"4400"	"0.13"	"4"	"1年以上前"
